,Rank,school_name,Earnings per Dollar (Cost)
2248,696,The University of Texas at El Paso,1.91
1807,697,University of Michigan-Flint,1.91
804,698,California State Polytechnic University-Pomona,1.91
2136,699,Mountwest Community and Technical College,1.91
806,700,Butte College,1.91
1088,701,Trinity Valley Community College,1.91
1311,702,Cape Cod Community College,1.91
1069,703,University of North Texas,1.91
2092,704,Texas A & M University-Corpus Christi,1.91
2037,705,Western Nevada College,1.91
1556,706,Cuesta College,1.91
673,707,University of Virginia-Main Campus,1.91
357,708,North Carolina State University at Raleigh,1.9
919,709,Kent State University at Ashtabula,1.9
700,710,Brigham Young University-Hawaii,1.9
2063,711,Southern State Community College,1.9
1273,712,Louisiana State University and Agricultural & Mechanical College,1.9
601,713,Sam Houston State University,1.9
1083,714,Paris Junior College,1.9
1492,715,Moberly Area Community College,1.9
71,716,California State University-East Bay,1.9
353,717,University at Buffalo,1.9
2069,718,Murray State College,1.9
1360,719,Meridian Community College,1.9
17,720,South Georgia State College,1.9
1673,721,Imperial Valley College,1.89
564,722,Central Ohio Technical College,1.89
1844,723,Mohawk Valley Community College,1.89
2183,724,Gateway Technical College,1.89
629,725,University of Wisconsin-Stevens Point,1.89
1854,726,Eastern New Mexico University-Roswell Campus,1.89
614,727,Snow College,1.89
2156,728,Milwaukee Area Technical College,1.89
217,729,Ivy Tech Community College,1.89
2207,730,University of Washington-Bothell Campus,1.88
1377,731,Manchester Community College,1.88
1940,732,Western Piedmont Community College,1.88
942,733,SUNY Polytechnic Institute,1.88
1958,734,Northeastern Oklahoma A&M College,1.88
864,735,College of Marin,1.88
2143,736,Florida Gulf Coast University,1.88
51,737,California State University-Bakersfield,1.88
1566,738,Cerro Coso Community College,1.88
1265,739,University of Northern Iowa,1.88
1117,740,Big Bend Community College,1.88
903,741,Sacramento City College,1.88
1127,742,Spokane Falls Community College,1.87
1817,743,Anoka-Ramsey Community College,1.87
279,744,Kennebec Valley Community College,1.87
427,745,New Jersey Institute of Technology,1.87
803,746,California State University-Fresno,1.87
247,747,Northeast Iowa Community College,1.87
1519,748,California State University-Long Beach,1.87
721,749,Volunteer State Community College,1.87
